title,seasons_count,episodes_count,ratings,vote_count,popularity,original_language,overview,genres,production_details,air_years,cast,keywords,imdb_id,networks,country_of_origin
Monk,8,125,8.1,98000,793.8,English,"Adrian Monk was once a rising star with the San Francisco Police Department, legendary for using unconventional means to solve the department's most baffling cases. But after the tragic (and still unsolved) murder of his wife Trudy, he developed an extreme case of obsessive-compulsive disorder. Now working as a private consultant, Monk continues to investigate cases in the most unconventional ways.","Comedy, Crime, Drama, Mystery","Mandeville Films, Moratim Produktions, Universal Television, Touchstone Television, USA Cable Entertainment, Universal Media Studios, UCP, ABC Signature",2002-2009,"Tony Shalhoub: Adrian Monk …, Jason Gray-Stanford: Lieutenant Randy Disher …, Ted Levine: Stottlemeyer, Traylor Howard: Natalie Teeger, Stanley Kamel: Dr. Charles Kroger …, Bitty Schram: Sharona Fleming, Emmy Clarke: Julie Teeger, Kane Ritchotte: Benjy Fleming, Hector Elizondo: Dr. Neven Bell, Melora Hardin: Trudy Monk …","detective, police, san, obsessive, consultant, murder, wife, department, police department, prominent, homicide, doubt, cost, solve crime, allow, brilliant, fill, boss, solve, develop, job, crime, help, force, try, world, terror, second command, try survive, amazing, condition, consult, continue solve, clue, police force, one give, list, laugh, original, aid, broken, burton, paranoid, josh, gun, assistant, convince, private, tiny, variety",tt0312172,USA Network,United States
Bob's Burgers,14,269,8.2,97000,795.4,English,"Bob's Burgers follows a third-generation restaurateur, Bob, as he runs Bob's Burgers with the help of his wife and their three kids. Bob and his quirky family have big ideas about burgers, but fall short on service and sophistication. Despite the greasy counters, lousy location and a dearth of customers, Bob and his family are determined to make Bob's Burgers ""grand re-re-re-opening"" a success.","Comedy, Animation","20th Century Fox Television, Bento Box Entertainment, Wilo Productions, Buck & Millie Productions, 20th Television Animation",2011-2023,"H. Jon Benjamin: Bob Belcher …, Dan Mintz: Tina Belcher …, Eugene Mirman: Gene Belcher …, John Roberts: Linda Belcher …, Kristen Schaal: Louise Belcher …, Larry Murphy: Teddy …, David Herman: Mr. Frond …, Bobby Tisdale: Zeke, Andy Kindler: Mort …, Brian Huskey: Regular Sized Rudy …","bob, restaurant, kid, tina, louise, family, jimmy, owner, run, wife, rival, love, child, son, crazy, watch, parent, school, struggle, way, get way, dull, helpful, creepy, insist, shop, life get, lax, pull, old girl, consist, bad luck, nearby, concern, lawyer, sell, food, hilarious, potential, normal, well, easy, major, result, little, luck, business, hand, appear, bad",tt1561755,FOX,United States
Tulsa King,1,9,8.0,97000,776.0,English,"Just after he is released from prison after 25 years, New York mafia capo Dwight “The General” Manfredi is unceremoniously exiled by his boss to set up shop in Tulsa, Okla. Realizing that his mob family may not have his best interests in mind, Dwight slowly builds a “crew” from a group of unlikely characters, to help him establish a new criminal empire in a place that to him might as well be another planet.","Crime, Drama","101 Studios, MTV Entertainment Studios, Bosque Ranch Productions, Balboa Productions",2022-2023,"Sylvester Stallone: Dwight 'The General' Manfredi, Andrea Savage: Stacy Beale, Martin Starr: Bodhi, Jay Will: Tyson, Max Casella: Armand Truisi, Vincent Piazza: Vince Antonacci, Domenick Lombardozzi: Charles 'Chickie' Invernizzi, Garrett Hedlund: Mitch Keller, Dana Delany: Margaret Devereaux, Chris Caldovino: Dennis 'Goodie' Carangi …","oklahoma, release, boss, release prison, prison, new york, york, general, crew, build, new, interest, shop, year, view, mind, realize, set, family, establish, year prison, good, unlikely, presence, expect, ground, send, stand, empire, decision, planet, place, criminal, son, look, father, grantss, group, make, help, go, power, time, man, friend, grantss year, follow, find",tt16358384,Paramount+,United States
Narcos: Mexico,3,30,8.3,97000,805.1,English,See the rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in 1980s Mexico.,"Drama, Crime","Gaumont, Gaumont International Television",2018-2021,"Scoot McNairy: Walt Breslin …, José María Yazpik: Amado Carrillo Fuentes, Alejandro Edda: Joaquín 'El Chapo' Guzmán, Alfonso Dosal: Benjamín Arellano Félix, Fermín Martínez: El Azul, Diego Luna: Miguel Ángel Félix Gallardo, Manuel Masalva: Ramón Arellano Félix, Matt Letscher: James Kuykendall, Mayra Hermosillo: Enedina Arellano Felix, Joaquín Cosio: Ernesto 'Don Neto' Fonseca Carrillo","cartel, mexico, agent, rise, drug, war, learn, trafficking, war year, young son, come ahmetkozan, chain event, drug trade, witness, root, assignment, dealer, danger, unfold, tragic, trade, loose, chain, origin, modern, post, intelligence, imagine, empire, american, california, build, explore, mission, target, move, wife, order, son, ahmetkozan, begin, event, go, take, time, come, world, year, young, new",tt8714904,Netflix,United States
Ray Donovan,7,82,8.3,97000,805.1,English,"Set in the sprawling mecca of the rich and famous, Ray Donovan does the dirty work for LA's top power players, and makes their problems disappear. His father's unexpected release from prison sets off a chain of events that shakes the Donovan family to its core.",Drama,"The Mark Gordon Company, Bider Sweet",2013-2020,"Liev Schreiber: Ray Donovan, Eddie Marsan: Terry Donovan, Dash Mihok: Bunchy Donovan, Pooch Hall: Daryll, Kerris Dorsey: Bridget Donovan, Jon Voight: Mickey Donovan, Kate Moennig: Lena, Devon Bagby: Conor Donovan, Paula Malcomson: Abby Donovan, Steven Bauer: Avi","disappear, rich, problem, set, family, chain event, core, dirty, release prison, shake, athlete, unfold, power player, chain, player, guy, professional, release, los angeles, los, angeles, business, powerful, prison, drama, create, father, ahmetkozan, make, city, event, power, family set, work",tt2249007,Showtime,United States
Neon Genesis Evangelion,1,26,8.5,97000,824.5,Japanese,"At the turn of the century, the Angels returned to Earth, seeking to wipe out humanity in an apocalyptic fury. Devastated, mankind's last remnants moved underground to wait for the day when the Angels would come back to finish the job. Fifteen years later, that day has come... but this time, humanity is ready to fight back with terrifying bio-mechanical weapons known as the Evangelions. Watch as Shinji, Rei, Asuka and the rest of the mysterious shadow agency Nerv battle to save earth from total annihilation.","Sci-Fi & Fantasy, Animation, Drama",GAINAX,1995-1996,"Megumi Ogata: Shinji Ikari …, Megumi Hayashibara: Rei Ayanami …, Kotono Mitsuishi: Misato Katsuragi …, Spike Spencer: Shinji Ikari, Allison Keith-Shipp: Misato Katsuragi, Sue Ulu: Ritsuko Akagi, Amanda Winn Lee: Rei Ayanami, Tristan MacAvery: Gendo Ikari, Tiffany Grant: Asuka Langly Soryu, Guil Lunde: Kozo Fuyutsuki","pilot, angel, kind, year, weapon, stop, human, call, attack, year old, child, team, old, juvenile, organic, population, unidentified, teenage boy, terror, recruit, ultimate, giant, chris, elite team, absolute, operate, enormous, field, purpose, crisis, elite, find, half, able, earth, chief, mind, teenage, planet, member, boy, thing, create, need, kill, father, son, begin, force, start",tt0112159,TV Tokyo,Japan
Elite,8,64,7.1,97000,688.7,Spanish,"When three low-income students are offered scholarships to attend an exclusive school, their affluent classmates react with distrust and hostility. The friction that ensues results in a murd... Read allWhen three low-income students are offered scholarships to attend an exclusive school, their affluent classmates react with distrust and hostility. The friction that ensues results in a murder, which irrevocably alters all of their lives.When three low-income students are offered scholarships to attend an exclusive school, their affluent classmates react with distrust and hostility. The friction that ensues results in a murder, which irrevocably alters all of their lives.","Teen Drama, Crime, Drama, Thriller","Zeta Ficción, Netflix, Producciones Zeta",2018–2024,"Omar Ayuso: Omar Shanaa, Itzan Escamilla: Samuel Garcia, Miguel Bernardeau: Guzmán Nunier, Valentina Zenere: Isadora Artiñán, Arón Piper: Ander Muñoz, André Lamoglia: Iván Carvalho, Claudia Salas: Rebeka Parrilla, Mina El Hammani: Nadia Shanaa, Georgina Amorós: Cayetana Grajera, Elisabet Gelabert: Azucena","las, study, class, classmate, school, arrival, elite, student, murder, upper, working, upper class, nadia, commit, affluent, ensue, alter, prestigious, welcome, clash, send, storm, receive, attend, result, suffer, teen, destroy, offer, public, low, country, center, present, create, crime, end, child, lose, people, work, young, new, life",tt7134908,,Spain
The Rookie,5,98,8.0,96000,768.0,English,"Starting over isn’t easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force’s oldest rookie, he’s met with skepticism from some higher-ups who see him as just a walking midlife crisis.","Crime, Drama","The Mark Gordon Company, ABC Studios, Entertainment One, Foxburg Financing 5, ABC Signature",2018-2023,"Nathan Fillion: John Nolan …, Alyssa Diaz: Angela Lopez …, Richard T. Jones: Wade Grey …, Melissa O'Neil: Lucy Chen …, Eric Winter: Tim Bradford …, Mekia Cox: Nyla Harper …, Shawn Ashmore: Wesley Evers, Lisseth Chavez: Celina Juarez …, Titus Makin Jr.: Jackson West, Jenna Dewan: Bailey Nune","nolan, pursue, life, cop, john, dream, lapd, small town, small, old, town, skepticism, comfortable, unpredictable, determine, incident, walk, crisis, easy, young, los angeles, los, angeles, officer, dangerous, move, navigate, second, police, meet, start, world, police officer, angeles police, chapter, life include, edge, chapter life, surround, inspire, year, join, guy, cast, success, sense, police department, experience, department, age",tt7587890,ABC,United States
American Gods,3,26,7.6,96000,729.6,English,An ex-con becomes the traveling partner of a conman who turns out to be one of the older gods trying to recruit troops to battle the upstart deities. Based on Neil Gaiman's fantasy novel.,"Drama, Mystery, Sci-Fi & Fantasy",FremantleMedia North America,2017-2021,"Ricky Whittle: Shadow Moon, Emily Browning: Laura Moon, Yetide Badaki: Bilquis, Bruce Langley: Technical Boy, Ian McShane: Mr. Wednesday, Omid Abtahi: Salim, Crispin Glover: Mr. World, Demore Barnes: Mr. Ibis, Pablo Schreiber: Mad Sweeney, Orlando Jones: Mr. Nancy","shadow, god, man, convict, release, wife, learn, kill, plane, storm, accident, know, involve, battle, call, old, world, moment, america old, funeral, inmate, quiet life, live quiet, begin johnny, world battle, year prison, violent, terrible, chaos, trouble, stranger, rock, fly, elusive, past want, big, early, hire, middle, serve, crash, past, car, sense, possible, affair, find, offer, quiet, hold",tt1898069,Starz,United States
Unorthodox,1,4,8.0,96000,768.0,German,A Hasidic Jewish woman in Brooklyn flees to Berlin from an arranged marriage and is taken in by a group of musicians -- until her past comes calling.,Drama,"Studio Airlift, Real Film Berlin",2020-2020,"Shira Haas: Esther Shapiro, Amit Rahav: Yanky Shapiro, Jeff Wilbusch: Moishe Lefkovitch, Alex Reid: Leah Mandelbaum Schwartz, Ronit Asheri: Malka Schwartz, Delia Mayer: Miriam Shapiro, Dina Doron: Babby, David Mandelbaum: Zeidy, Gera Sandler: Mordecai Schwartz, Lili Rosen: Rabbi","community, marriage, woman, leave, old girl, pursue, beginning, past haunt, faith, cinemoviez, adapt, start new, flee, married, try new, difficult, district, strike, existence, difficulty, young, goal, haunt, young woman, new life, path, new, series follow, life, girl, decide, year old, change, bring, past, discover, force, start, old, live, try, way, series, follow, year, life young, find",tt9815454,Netflix,Germany
Dragon Ball Z,9,291,8.8,96000,844.8,Japanese,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.","Animation, Sci-Fi & Fantasy, Action & Adventure","Fuji Television Network, Mini Art, Toei Animation, Fizz Sound Creation",1989-1996,"Jôji Yanami: Narration …, Kyle Hebert: Narrator …, Masako Nozawa: Son Gohan …, Sean Schemmel: Goku …, Christopher Sabat: Vegeta …, Mayumi Tanaka: Kuririn …, Sonny Strait: Krillin …, Stephanie Nadolny: Gohan …, Toshio Furukawa: Piccolo …, Ryô Horikawa: Vegeta …","son, warrior, earth, space, universe, ally, new, old, continue, old son, land earth, new threat, ruthless, art, harness power, extraterrestrial, reunite, overcome, study, harness, defend, sentinel, revelation, saga, enemy, defender, johnny sentinel, old brother, year, origin, com, alien, stop, save, johnny, threat, planet, land, search, reveal, adventure, name, great, end, year old, fight, brother, father, bring, team",tt0121220,Fuji TV,Japan
Outer Banks,4,30,7.5,95000,712.5,English,"A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.","Action & Adventure, Drama, Mystery",,2020-2023,"Chase Stokes: John B Routledge, Madelyn Cline: Sarah Cameron, Madison Bailey: Kiara Carrera, J.D.: Pope Heyward, Rudy Pankow: JJ Maybank, Drew Starkey: Rafe Cameron, Austin North: Topper Thornton, Charles Esten: Ward Cameron, Cullen Moss: Deputy Shoupe …, Carlacia Grant: Cleo","treasure, disappearance, hunt, john, father, friend, exciting, discover truth, possession, peril, maze, adolescent, affluent, wealth, confront, malik haider, overcome, malik, haider, island, link, approach, threaten, connect, teen, quest, good friend, truth, love, discover, take, secret, good, life",tt10293938,Netflix,United States
Falling Skies,5,52,7.1,95000,674.5,English,"Falling Skies opens in the chaotic aftermath of an alien attack that has left most of the world completely incapacitated. In the six months since the initial invasion, the few survivors have banded together outside major cities to begin the difficult task of fighting back. Each day is a test of survival as citizen soldiers work to protect the people in their care while also engaging in an insurgency campaign against the occupying alien force.","Action & Adventure, Sci-Fi & Fantasy","DreamWorks Television, Amblin Television, Turner Network Television, Invasion Productions",2011-2015,"Noah Wyle: Tom Mason, Drew Roy: Hal Mason, Maxim Knight: Matt Mason, Will Patton: Captain Dan Weaver …, Sarah Carter: Margaret, Moon Bloodgood: Anne Glass, Connor Jessup: Ben Mason, Colin Cunningham: John Pope, Mpho Koaho: Anthony, Seychelle Gabriel: Lourdes Delgado","tom, say, kid, harness, tell, ben, knock, run, karen, alien, porter, hear, think, cut, remove, mike, anne, wake, open, want, find, die, parent, bring, see, alive, know, suggest, uncle, wave, report, picture, matt, mankind, scott, school, get, group, child, face, gun, let, drag, doctor, cook, fire, ask, check, people, leave",tt1462059,TNT,"United States, Canada"
Atlanta,4,41,8.6,94000,808.4,English,Two cousins work through the Atlanta music scene in order to better their lives and the lives of their families.,"Comedy, Drama","FX Productions, RBA, 343, MGMT. Entertainment, Gilga",2016-2022,"Donald Glover: Earnest 'Earn' Marks …, Brian Tyree Henry: Alfred 'Paper Boi' Miles, LaKeith Stanfield: Darius, Zazie Beetz: Van, Khris Davis: Tracy, RJ Walker: Clark County, Harold House Moore: Swiff, Matthew Barnes: Lucas, Myra Lucretia Taylor: Earn's Mother …, Tobias Segal: E …","cousin, earn, career, manage, try, face, way, hot, poverty, real life, spend time, face face, artist, busy, status, issue, level, social, touch, local, catch, jwelch5742, real, understand, line, hand, business, race, right, spend, life, daughter, good friend, street, mother, relationship, return, look, city, time, man, friend, come, world, good, young, new",tt4288182,FX,United States
The Day of the Jackal,2,11,8.1,94000,761.4,English,The Jackal is an elusive assassin who makes his living carrying out hits for the highest fee. He soon meets his match in a tenacious British intelligence officer who tracks him down in a thr... Read allThe Jackal is an elusive assassin who makes his living carrying out hits for the highest fee. He soon meets his match in a tenacious British intelligence officer who tracks him down in a thrilling cat-and-mouse chase across Europe.The Jackal is an elusive assassin who makes his living carrying out hits for the highest fee. He soon meets his match in a tenacious British intelligence officer who tracks him down in a thrilling cat-and-mouse chase across Europe.,"Spy, Action, Crime, Drama, Thriller","Carnival Film & Television, Peacock Productions, SKY Studios",2024,"Eddie Redmayne: The Jackal, Lashana Lynch: Bianca Pullman, Eleanor Matsuura: Zina Jansone, Chukwudi Iwuji: Osita Halcrow, Úrsula Corberó: Nuria, Ben Hall: Damian Richardson, Lia Williams: Isabel Kirby, Jon Arias: Alvaro, Khalid Abdalla: Ulle Dag Charles, Sule Rimi: Paul Pullman","think know, thrilling, tenacious, london, make living, british, analyst, impossible, living, identify, elusive, chase, assassin, piece, notice, political, intelligence, carry, killer, officer, figure, hit, think, track, mysterious, high, grantss, meet, make, take, know, way",tt24053860,,"United Kingdom, United States"
The Following,3,45,7.4,93000,688.2,English,"Notorious serial killer Joe Carroll, after being found guilty of murdering 14 female students on the Virginia college campus where he taught literature, escapes from death row. The FBI calls former agent Ryan Hardy to consult on the case, as he was the one responsible for Carroll’s capture in 2003. Ryan, working closely with an FBI team, including Mike Weston and FBI Specialist Debra Parker, piece together the ever-growing web of murders orchestrated by the devious Carroll.","Crime, Drama",Outerbanks Entertainment,2013-2015,"Kevin Bacon: Ryan Hardy, James Purefoy: Joe Carroll, Shawn Ashmore: Mike Weston …, Valorie Curry: Emma Hill, Sam Underwood: Mark Gray …, Jessica Stroup: Max Hardy, Natalie Zea: Claire Matthews, Zuleikha Robinson: Gwen, Nico Tortorella: Jacob Wells, Kyle Catlett: Joey Matthews","killer, serial killer, serial, able, executive producer, active, cult, work form, kevin, creator, alliance, fbi, producer, welcome, thriller, vampire, follow, executive, psychological, brilliant, united states, united, command, states, connect, country, form, happen, leave, bring, way, work",tt2071645,FOX,United States
The Shield,7,88,8.7,93000,809.1,English,The story of an inner-city Los Angeles police precinct where some of the cops aren't above breaking the rules or working against their associates to both keep the streets safe and their self-interests intact.,"Crime, Drama, Action & Adventure","Fox Television Studios, Sony Pictures Television Studios, Columbia TriStar Television",2002-2008,"Michael Chiklis: Detective Vic Mackey, Michael Jace: Officer Julien Lowe, Jay Karnes: Detective Holland 'Dutch' Wagenbach, CCH Pounder: Detective Claudette Wyms …, Benito Martinez: David Aceveda, Walton Goggins: Detective Shane Vendrell, Catherine Dent: Officer Danny Sofer, Cathy Cahlin Ryan: Corrine Mackey, David Rees Snell: Detective Ronnie Gardocki, Kenny Johnson: Detective Curtis 'Lemonhead' Lemansky","los angeles, los, angeles, angeles police, detective, order, cop, dealing, police, rule, rich, strike, police department, department, team, break, criminal, corrupt, california area, violence, trafficking, yahoo, sink, rouge, bad criminal, shane, yahoo com, area, associate, illegal, intact, curtis, interest, inner, series, maintain, self, charge, loyal, method, level, safe, division, law, fictional, district, com, california, drug, use",tt0286486,FX,United States
Marvel's Agent Carter,2,18,7.8,92000,717.6,English,"It's 1946, and peace has dealt Peggy Carter a serious blow as she finds herself marginalized when the men return home from fighting abroad. Working for the covert SSR (Strategic Scientific Reserve), Peggy must balance doing administrative work and going on secret missions for Howard Stark all while trying to navigate life as a single woman in America, in the wake of losing the love of her life - Steve Rogers.","Drama, Sci-Fi & Fantasy","ABC Studios, Marvel Television, Fazekas & Butters; marvel cinematic universe",2015-2016,"Hayley Atwell: Peggy Carter, James D'Arcy: Edwin Jarvis, Enver Gjokaj: Daniel Sousa, Chad Michael Murray: Jack Thompson, Wynn Everett: Whitney Frost, Reggie Austin: Jason Wilkes, Bridget Regan: Dottie Underwood, Lesley Boone: Rose …, Shea Whigham: Roger Dooley, Lyndsy Fonseca: Angie Martinelli","weapon, agent, stick, go, responsible, find, protect, bad, america, work, track, woman, life, person, recognize, claim, frame, love life, reserve, navigate life, need help, vast, spend rest, routine, swear, scientific, deadly, america old, acquaintance, begin question, assist, lose love, peace, field, wake, trust, major, destruction, put, tough, guy, male, cooper, blow, daily, rogers, investigation, release, creature, clear",tt3475734,ABC,United States
CSI: Crime Scene Investigation,15,335,7.7,92000,708.4,English,"A Las Vegas team of forensic investigators are trained to solve criminal cases by scouring the crime scene, collecting irrefutable evidence and finding the missing pieces that solve the mystery.","Crime, Drama, Mystery","Alliance Atlantis, CBS Productions, CBS Studios; CSI (franchise) television series",2000-2015,"William Petersen: CSI Dr. Gil Grissom …, Laurence Fishburne: CSI Dr. Ray Langston, Ted Danson: CSI D.B. Russell, George Eads: CSI Nick Stokes, Eric Szmanda: CSI Greg Sanders …, Robert David Hall: Chief ME Dr. Al Robbins, Paul Guilfoyle: Captain Jim Brass …, Jorja Fox: CSI Sara Sidle, David Berman: Assistant ME David Phillips …, Marg Helgenberger: CSI Catherine Willows","crime, las, scientific, police department, department, police, solve, evidence, method, solve crime, lead, investigator, investigation, catch, com, quest, night, provide, work, follow, criminal, city, team, technology, team work, yahoo com, yahoo, second command, target criminal, capable, examine, busy, elite team, clue, chisholm kchishol, chisholm, constant, false, kenneth, kchishol rogers, obsessive, kenneth chisholm, puzzle, jeff, kchishol, rogers com, unit, hopeful, cross, instant",tt0247082,CBS,"United States, Canada"
The West Wing,7,154,8.9,92000,818.8,English,The West Wing provides a glimpse into presidential politics in the nation's capital as it tells the stories of the members of a fictional presidential administration. These interesting characters have humor and dedication that touches the heart while the politics that they discuss touch on everyday life.,Drama,,1999-2006,"Martin Sheen: President Josiah Bartlet, Rob Lowe: Sam Seaborn, Allison Janney: C.J. Cregg, John Spencer: Leo McGarry, Bradley Whitford: Josh Lyman, Janel Moloney: Donna Moss, Richard Schiff: Toby Ziegler, Dulé Hill: Charlie Young, NiCole Robinson: Margaret Hooper …, Melissa Fitzgerald: Carol Fitzpatrick …","political, president, personal, white, role, play, house, country, reality, people, day, power, kgf, elect, dedicated, duty, visser, west, wing, insight, battle personal, position, kgf visser, leo, personal life, principle, elect president, historical, charlie, communication, elizabeth, game, allow, assistant, lady, conduct, politic, power player, succeed, society, sam, sacrifice, josh, follow, player, professional, fictional, term, staff, leader",tt0200276,NBC,United States
My Hero Academia,7,138,8.2,91000,746.2,Japanese,"In a world where eighty percent of the population has some kind of super-powered Quirk, Izuku was unlucky enough to be born completely normal. But that won't stop him from enrolling in a prestigious hero academy. Now, he'll get his first taste of brutal rivalry from other schools as he braves the cutthroat, no-holds-barred provisional license exam.","Action & Adventure, Animation","BONES, Shueisha, movic, dentsu, Yomiuri Telecasting Corporation, Sony Music Entertainment (Japan), TOHO",2016-2023,"Daiki Yamashita: Izuku Midoriya, Justin Briner: Izuku Midoriya, Nobuhiko Okamoto: Katsuki Bakugou, Ayane Sakura: Ochako Uraraka …, Yûki Kaji: Shouto Todoroki, Kaito Ishikawa: Tenya Iida …, Clifford Chapin: Katsuki Bakugo …, Toshiki Masuda: Eijirou Kirishima …, Jun'ichi Suwabe: Shouta Aizawa …, Luci Christian: Ochaco Uraraka …","hero, power, superhero, possess, superpower, student, world, mankind, school, look, prestigious, pass, super, villain, train, able, dream, boy, learn, discover, know, humanity, supernatural, superhuman, vast, meeting, develop superpower, look way, populate, super power, mean hero, majority, grant, defeat, shape, rebuild, appearance, possess ability, admire, weak, defend, element, plan, peace, bully, chance, middle, stand, strong, possible",tt5626028,"Nippon TV, MBS, TBS, YTV",Japan
One Tree Hill,9,187,7.8,91000,709.8,English,"In Tree Hill, North Carolina two half brothers share a last name and nothing else. Brooding, blue-collar Lucas is a talented street-side basketball player, but his skills are appreciated only by his friends at the river court. Popular, affluent Nathan basks in the hero-worship of the town, as the star of his high school team. And both boys are the son of former college ball player Dan Scott whose long ago choice to abandon Lucas and his mother Karen, will haunt him long into his life with wife Deb and their son Nathan.",Drama,"Warner Bros. Television, Tollin/Robbins Productions",2003-2012,"Chad Michael Murray: Lucas Scott, James Lafferty: Nathan Scott …, Hilarie Burton Morgan: Peyton Sawyer …, Bethany Joy Lenz: Haley James Scott …, Sophia Bush: Brooke Davis …, Lee Norris: Marvin 'Mouth' McFadden …, Paul Johansson: Dan Scott, Antwon Tanner: Antwon 'Skills' Taylor, Barbara Alyn Woods: Deb Scott …, Jackson Brundage: Jamie Scott","nathan, lucas, scott, brother, high school, school, coach, dan, talent, heart, love, high, quiet, play, friend, town, hill, tree, birth, court, term, hard, common, team, kid, dad, small, boy, star, good, run, great, relationship, mother, struggle, father, half, life, old, family, man, yard, kgf, athlete, arrogant, absolute, visser, working, whisper, town quiet",tt0368530,"The WB, The CW",United States
The King of Queens,9,207,7.4,91000,673.4,English,"Life’s good for deliveryman Doug Heffernan, until his newly widowed father-in-law, Arthur, moves in with him and his wife Carrie. Doug is no longer the king of his domain, and instead of having a big screen television in his recently renovated basement, he now has a crazy old man.",Comedy,"Columbia TriStar Television, Sony Pictures Television Studios, CBS Productions, CBS Studios",1998-2007,"Kevin James: Doug Heffernan …, Leah Remini: Carrie Heffernan, Jerry Stiller: Arthur Spooner …, Patton Oswalt: Spence Olchin, Victor Williams: Deacon Palmer …, Gary Valentine: Danny Heffernan …, Nicole Sullivan: Holly Shumpert …, Larry Romano: Richie Iannucci …, Merrin Dungey: Kelly Palmer, Mookie Barker: Phil …","father, live, queen, wife, house, law, king, problem, good, move, get, try, occasional, numerous problem, problem situation, let, couple, adventure journey, father live, male, married couple, blue, watch, secretary, widow, crowd, post, numerous, television, recb3, jerry, middle, married, normal, beloved, life, park, situation, james, marriage, big, new york, york, adventure, journey, need, run, time, set, friend",tt0165581,CBS,United States
The Grand Tour,5,44,8.7,90000,783.0,English,"Jeremy Clarkson, Richard Hammond and James May are back with a show about adventure, excitement and friendship... as long as you accept that the people you call friends are also the ones you find extremely annoying. Sometimes it's even a show about cars. Follow them on their global adventure.",Reality,"W. Chump and Sons, Amazon Studios; 6",2016-2023,"Jeremy Clarkson: Self - Presenter, James May: Self - Presenter, Richard Hammond: Self - Presenter, Abbie Eaton: Self - Driver, Mike Skinner: Self - The American, Simon Pegg: Self - Special Guest, David Hasselhoff: Self, Kiefer Sutherland: Self - Guest, Paris Hilton: Self, Nigel Mansell: Self - Presenter","jeremy, exciting, globe, drive, embark, james, adventure, world, new",tt5712554,Prime Video,"United Kingdom, United States"
His Dark Materials,3,23,7.8,90000,702.0,English,"Lyra is an orphan who lives in a parallel universe in which science, theology, and magic are intertwined. Her search for a kidnapped friend uncovers a sinister plot involving stolen children and turns into a quest to understand a mysterious phenomenon called Dust. She is later joined on her journey by Will, a boy who possesses a knife that can cut windows between worlds. As she learns the truth about her parents and her prophesied destiny, the two young people are caught up in a war against celestial powers that ranges across many worlds.","Sci-Fi & Fantasy, Drama","Bad Wolf, New Line Cinema",2019-2023,"Dafne Keen: Lyra Silvertongue …, Kit Connor: Pantalaimon, Ruth Wilson: Mrs Coulter, Amir Wilson: Will Parry, Will Keen: Father MacPhail …, Brian Fisher: The Golden Monkey, Ariyon Bakare: Carlo Boreal, Simone Kirby: Mary Malone, Ruta Gedmintas: Serafina Pekkala, Lin-Manuel Miranda: Lee Scoresby","magic, world, child, people, young, window, understand, spirit know, sinister, northern, range, spirit, destiny, child turn, destine, learn truth, 20th century, thrilling, world lead, 20th, universe, orphan, possess, fiction, introduce, animal, uncover, steal, tie, science, kidnap, grip, adult, truth, parent, century, cut, light, involve, catch, ahmetkozan, call, quest, dark, boy, journey, join, girl, search, mysterious",tt5607976,BBC One,"United Kingdom, United States"
Ginny & Georgia,4,20,7.4,90000,666.0,English,"Angsty and awkward fifteen year old Ginny Miller often feels more mature than her thirty year old mother, the irresistible and dynamic Georgia Miller. After years on the run, Georgia desperately wants to put down roots in picturesque New England and give her family something they've never had... a normal life. But it's not all carpool and Kombucha as Georgia's past threatens her and her family's new way of life... and Georgia will do anything to protect her family.","Comedy, Drama","Blue Ice Pictures, Dynamic Television",2021-2023,"Brianne Howey: Georgia Miller, Antonia Gentry: Ginny Miller, Felix Mallard: Marcus Baker, Sara Waisglass: Maxine Baker, Katie Douglas: Abby Littman, Chelsea Clark: Norah, Diesel La Torraca: Austin Miller, Scott Porter: Mayor Paul Randolph, Raymond Ablack: Joe, Jennifer Robertson: Ellen Baker","miller, year old, year, old, dynamic, feel, family, mother, lifestyle, normal life, new england, new, england, normal, protect, want, threaten, past, run, life",tt10813940,Netflix,United States
Raised by Wolves,2,18,7.4,90000,666.0,English,"After Earth is ravaged by a great religious war, an atheistic android architect sends two of his creations, Mother and Father, to start a peaceful, godless colony on the planet Kepler-22b. Their treacherous task is jeopardized by the arrival of the Mithraic, a deeply devout religious order of surviving humans.","Sci-Fi & Fantasy, Drama","Scott Free Productions, Film Afrika, Lit Entertainment Group, Shadycat Productions",2020-2022,"Travis Fimmel: Marcus, Amanda Collin: Mother, Abubakar Salim: Father, Winta McGrath: Campion, Niamh Algar: Sue, Jordan Loughran: Tempest, Felix Jamieson: Paul, Ethan Hazzard: Hunter, Aasiya Shah: Holly, Ivy Wong: Vita","android, human, raise, child, planet, task, mother, mysterious, father, edge, treacherous, tear, producer, extinction, colony, colony planet, arrival, difference, contact, peaceful, scott, start, self, human race, control, land, dangerous, send, survive, order, struggle, race, attempt, earth, people, follow",tt9170108,HBO Max,United States
